nodename1,nodename2,weight
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Catawba',1
'Catawba','Brunswick',1
Duke Energy,'Brunswick',1
'Catawba','Oconee',1
Duke Energy,'Oconee',1
Duke Energy,'Charlotte',1
'Charlotte','North   Carolina',1
Duke Energy,'North   Carolina',1
Duke Energy,'Charlotte',1
'Charlotte','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'China',1
'China','New York Branch',1
Duke Energy,'New York Branch',1
Duke Energy,'Citrus County',1
'Citrus County','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Citrus County',1
'Citrus County','Florida',1
Duke Energy,'Florida',1
'Citrus County','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'Emera',1
'Emera','Maine',1
Duke Energy,'Maine',1
Duke Energy,'FLORIDA',1
'FLORIDA','Anderson',1
Duke Energy,'Anderson',1
'FLORIDA','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'FLORIDA',1
'FLORIDA','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'FLORIDA',1
'FLORIDA','FPSC',1
Duke Energy,'FPSC',1
Duke Energy,'FLORIDA',1
'FLORIDA','Florida',1
Duke Energy,'Florida',1
'FLORIDA','Florida',1
Duke Energy,'Florida',1
Duke Energy,'FLORIDA',1
'FLORIDA','Florida',1
Duke Energy,'Florida',1
'FLORIDA','Indiana',1
Duke Energy,'Indiana',1
'FLORIDA','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'FLORIDA',1
'FLORIDA','Florida',1
Duke Energy,'Florida',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
'FLORIDA','Indiana',1
Duke Energy,'Indiana',1
'FLORIDA','Florida',1
Duke Energy,'Florida',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'FLORIDA',1
'FLORIDA','INDIANA',1
Duke Energy,'INDIANA',1
Duke Energy,'FLORIDA',1
'FLORIDA','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'FLORIDA',1
'FLORIDA','N.C.',1
Duke Energy,'N.C.',1
Duke Energy,'FLORIDA',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'FLORIDA',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'FLORIDA',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
'FLORIDA','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'FLORIDA',1
'FLORIDA','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'FLORIDA',1
'FLORIDA','Piedmont',1
Duke Energy,'Piedmont',1
'FLORIDA','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Auburndale',1
Duke Energy,'Auburndale',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','Carolinas',1
Duke Energy,'Carolinas',1
Duke Energy,'Florida',1
'Florida','Citrus County',1
Duke Energy,'Citrus County',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','Colorado',1
Duke Energy,'Colorado',1
Duke Energy,'Florida',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Florida',1
'Florida','Levy County',1
Duke Energy,'Levy County',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Dynegy',1
Duke Energy,'Dynegy',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Sutton',1
Duke Energy,'Sutton',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
'Florida','Piedmont(a',1
Duke Energy,'Piedmont(a',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Ohio',1
Duke Energy,'Ohio',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Florida',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
'Florida','FLORIDA',1
Duke Energy,'FLORIDA',1
'Florida','Florida',1
Duke Energy,'Florida',1
'Florida','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Florida',1
'Florida','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'Florida',1
'Florida','South Carolina',1
Duke Energy,'South Carolina',1
'Florida','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Florida',1
'Florida','South',1
Duke Energy,'South',1
'Florida','Carolina',1
Duke Energy,'Carolina',1
'Florida','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Florida',1
'Florida','Sutton',1
Duke Energy,'Sutton',1
'Florida','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Florida',1
'Florida','U.S.',1
Duke Energy,'U.S.',1
Duke Energy,'Florida',1
'Florida','U.S.',1
Duke Energy,'U.S.',1
'Florida','Pennsylvania',1
Duke Energy,'Pennsylvania',1
Duke Energy,'Fukushima',1
'Fukushima','Japan',1
Duke Energy,'Japan',1
Duke Energy,'Henry County',1
'Henry County','Miami',1
Duke Energy,'Miami',1
'Henry County','Wabash',1
Duke Energy,'Wabash',1
Duke Energy,'INDIANA',1
'INDIANA','Indiana',1
Duke Energy,'Indiana',1
'INDIANA','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Indiana',1
'Indiana','Carolinas',1
Duke Energy,'Carolinas',1
Duke Energy,'Indiana',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Indiana',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Illinois',1
Duke Energy,'Illinois',1
Duke Energy,'Indiana',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Indiana',1
'Indiana','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Indiana',1
'Indiana','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Indiana',1
'Indiana','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Indiana',1
'Indiana','Ohio',1
Duke Energy,'Ohio',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Florida',1
Duke Energy,'Florida',1
'Indiana','FLORIDA',1
Duke Energy,'FLORIDA',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','Indiana',1
Duke Energy,'Indiana',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
'Indiana','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Indiana',1
'Indiana','Piedmont(a',1
Duke Energy,'Piedmont(a',1
Duke Energy,'Indiana',1
'Indiana','Piedmont(a',1
Duke Energy,'Piedmont(a',1
'Indiana','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Japan',1
'Japan','San Bruno',1
Duke Energy,'San Bruno',1
'Japan','California',1
Duke Energy,'California',1
Duke Energy,'Jubail',1
'Jubail','Saudi Arabia',1
Duke Energy,'Saudi Arabia',1
Duke Energy,'Kentucky',1
'Kentucky','Illinois',1
Duke Energy,'Illinois',1
'Kentucky','Ohio',1
Duke Energy,'Ohio',1
'Kentucky','West Virginia',1
Duke Energy,'West Virginia',1
'Kentucky','Pennsylvania',1
Duke Energy,'Pennsylvania',1
Duke Energy,'Kentucky',1
'Kentucky','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Kentucky',1
'Kentucky','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Kentucky',1
'Kentucky','Kentucky',1
Duke Energy,'Kentucky',1
'Kentucky','Ohio',1
Duke Energy,'Ohio',1
'Kentucky','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Marcellus',1
'Marcellus','Pennsylvania',1
Duke Energy,'Pennsylvania',1
Duke Energy,'N.C.',1
'N.C.','North   Carolina',1
Duke Energy,'North   Carolina',1
'N.C.','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'NC',1
'NC','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'NE',1
'NE','Washington',1
Duke Energy,'Washington',1
Duke Energy,'North   Carolina',1
'North   Carolina','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'North  Carolina',1
'North  Carolina','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'North  Carolina',1
'North  Carolina','South Carolina',1
Duke Energy,'South Carolina',1
'North  Carolina','Florida',1
Duke Energy,'Florida',1
'North  Carolina','Indiana',1
Duke Energy,'Indiana',1
'North  Carolina','Ohio',1
Duke Energy,'Ohio',1
'North  Carolina','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'North Carolina',1
'North Carolina','Asheville',1
Duke Energy,'Asheville',1
'North Carolina','Belews Creek',1
Duke Energy,'Belews Creek',1
'North Carolina','Buck',1
Duke Energy,'Buck',1
'North Carolina','Cliffside',1
Duke Energy,'Cliffside',1
Duke Energy,'North Carolina',1
'North Carolina','Belews Creek',1
Duke Energy,'Belews Creek',1
Duke Energy,'North Carolina',1
'North Carolina','CR3',1
Duke Energy,'CR3',1
'North Carolina','Florida',1
Duke Energy,'Florida',1
Duke Energy,'North Carolina',1
'North Carolina','Charlotte',1
Duke Energy,'Charlotte',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','Raleigh',1
Duke Energy,'Raleigh',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','Raleigh',1
Duke Energy,'Raleigh',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','FLORIDA',1
Duke Energy,'FLORIDA',1
'North Carolina','Florida',1
Duke Energy,'Florida',1
'North Carolina','St. Petersburg',1
Duke Energy,'St. Petersburg',1
'North Carolina','Florida',1
Duke Energy,'Florida',1
'North Carolina','Ohio',1
Duke Energy,'Ohio',1
'North Carolina','Cincinnati',1
Duke Energy,'Cincinnati',1
'North Carolina','Ohio',1
Duke Energy,'Ohio',1
'North Carolina','INDIANA',1
Duke Energy,'INDIANA',1
'North Carolina','Indiana',1
Duke Energy,'Indiana',1
'North Carolina','Plainfield',1
Duke Energy,'Plainfield',1
'North Carolina','Indiana',1
Duke Energy,'Indiana',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','Charlotte',1
Duke Energy,'Charlotte',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','Ohio',1
Duke Energy,'Ohio',1
'North Carolina','Kentucky',1
Duke Energy,'Kentucky',1
'North Carolina','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'North Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
'North Carolina','Florida',1
Duke Energy,'Florida',1
'North Carolina','Ohio',1
Duke Energy,'Ohio',1
'North Carolina','Tennessee',1
Duke Energy,'Tennessee',1
'North Carolina','Indiana',1
Duke Energy,'Indiana',1
'North Carolina','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'North Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'North Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
'North Carolina','Tennessee',1
Duke Energy,'Tennessee',1
Duke Energy,'North Carolina',1
'North Carolina','South Carolina',1
Duke Energy,'South Carolina',1
'North Carolina','Tennessee',1
Duke Energy,'Tennessee',1
'North Carolina','Ohio',1
Duke Energy,'Ohio',1
'North Carolina','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'North Carolina',1
'North Carolina','Tennessee',1
Duke Energy,'Tennessee',1
'North Carolina','Tennessee',1
Duke Energy,'Tennessee',1
Duke Energy,'North',1
'North','Carolina',1
Duke Energy,'Carolina',1
Duke Energy,'OHIO',1
'OHIO','Ohio',1
Duke Energy,'Ohio',1
'OHIO','Ohio',1
Duke Energy,'Ohio',1
'OHIO','Kentucky',1
Duke Energy,'Kentucky',1
'OHIO','Kentucky',1
Duke Energy,'Kentucky',1
'OHIO','Ohio',1
Duke Energy,'Ohio',1
'OHIO','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Oconee',1
'Oconee','Brunswick',1
Duke Energy,'Brunswick',1
Duke Energy,'Ohio',1
'Ohio','Carolinas',1
Duke Energy,'Carolinas',1
'Ohio','Florida',1
Duke Energy,'Florida',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Ohio',1
'Ohio','FLORIDA',1
Duke Energy,'FLORIDA',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
'Ohio','Ohio',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
'Ohio','Piedmont(a',1
Duke Energy,'Piedmont(a',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
'Ohio','U.S.',1
Duke Energy,'U.S.',1
Duke Energy,'Ohio',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Ohio',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Ohio',1
'Ohio','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Ohio',1
'Ohio','Ohio',1
Duke Energy,'Ohio',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
'Ohio','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Ohio',1
'Ohio','Ohio',1
Duke Energy,'Ohio',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
'Ohio','Ohio',1
Duke Energy,'Ohio',1
'Ohio','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Ohio',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Ohio',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
'Ohio','Indiana',1
Duke Energy,'Indiana',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Ohio',1
'Ohio','Piedmont',1
Duke Energy,'Piedmont',1
'Ohio','North Carolina',1
Duke Energy,'North Carolina',1
'Ohio','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'Ohio',1
'Ohio','U.S.',1
Duke Energy,'U.S.',1
Duke Energy,'Peru',1
'Peru','Chile',1
Duke Energy,'Chile',1
'Peru','Ecuador',1
Duke Energy,'Ecuador',1
'Peru','Guatemala',1
Duke Energy,'Guatemala',1
'Peru','El Salvador',1
Duke Energy,'El Salvador',1
'Peru','Argentina',1
Duke Energy,'Argentina',1
Duke Energy,'Piedmont',1
'Piedmont','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Piedmont',1
'Piedmont','North Carolina',1
Duke Energy,'North Carolina',1
'Piedmont','North Carolina',1
Duke Energy,'North Carolina',1
'Piedmont','Hardy',1
Duke Energy,'Hardy',1
'Piedmont','Hampshire',1
Duke Energy,'Hampshire',1
'Piedmont','West Virginia',1
Duke Energy,'West Virginia',1
Duke Energy,'Piedmont',1
'Piedmont','North Carolina',1
Duke Energy,'North Carolina',1
'Piedmont','North Carolina',1
Duke Energy,'North Carolina',1
'Piedmont','South Carolina',1
